playerID,team_id,fullName,posType,position 
8477946,17,Dylan Larkin,Forward,C
8479992,17,Michael Rasmussen,Forward,C
8481426,17,Ryan Kuffner,Forward,LW
8481433,17,Taro Hirose,Forward,LW
8469465,18,Dan Hamhuis,Defenseman,D
8470619,18,Brian Boyle,Forward,C
8471469,18,Pekka Rinne,Goalie,G
8471657,18,Cody McLeod,Forward,LW
8474009,18,Nick Bonino,Forward,C
8474056,18,P.K. Subban,Defenseman,D
8474068,18,Kyle Turris,Forward,C
8474134,18,Yannick Weber,Defenseman,D
8474190,18,Wayne Simmonds,Forward,RW
8474600,18,Roman Josi,Defenseman,D
8474736,18,Zac Rinaldo,Forward,LW
8475176,18,Ryan Ellis,Defenseman,D
8475218,18,Mattias Ekholm,Defenseman,D
8475225,18,Craig Smith,Forward,RW
8475625,18,Matt Irwin,Defenseman,D
8475714,18,Calle Jarnkrok,Forward,C
8475766,18,Austin Watson,Forward,LW
8475793,18,Ryan Johansen,Forward,C
8475798,18,Mikael Granlund,Forward,C
8476428,18,Rocco Grimaldi,Forward,C
8476447,18,Miikka Salomaki,Forward,RW
8476887,18,Filip Forsberg,Forward,LW
8476925,18,Colton Sissons,Forward,C
8477424,18,Juuse Saros,Goalie,G
8477919,18,Frederick Gaudreau,Forward,C
8478042,18,Viktor Arvidsson,Forward,RW
8479371,18,Dante Fabbro,Defenseman,D
8479514,18,Rem Pitlick,Forward,C
8480779,18,Niclas Westerholm,Goalie,G
8469501,19,Chris Thorburn,Forward,RW
8470151,19,Jay Bouwmeester,Defenseman,D
8470257,19,Alexander Steen,Forward,LW
8474034,19,Pat Maroon,Forward,LW
8474102,19,David Perron,Forward,LW
8474125,19,Carl Gunnarsson,Defenseman,D
8474145,19,Robert Bortuzzo,Defenseman,D
8474565,19,Alex Pietrangelo,Defenseman,D
8474584,19,Michael Del Zotto,Defenseman,D
8474596,19,Jake Allen,Goalie,G
8475098,19,Tyler Bozak,Forward,C
8475158,19,Ryan O'Reilly,Forward,C
8475170,19,Brayden Schenn,Forward,C
8475765,19,Vladimir Tarasenko,Forward,RW
8475768,19,Jaden Schwartz,Forward,LW
8476412,19,Jordan Binnington,Goalie,G
8476441,19,Joel Edmundson,Defenseman,D
8476892,19,Colton Parayko,Defenseman,D
8476897,19,Oskar Sundqvist,Forward,C
8476907,19,Mackenzie MacEachern,Forward,LW
8477225,19,Jared Coreau,Goalie,G
8477482,19,Zach Sanford,Forward,LW
8477952,19,Robby Fabbri,Forward,C
8477964,19,Ivan Barbashev,Forward,C
8478104,19,Sammy Blais,Forward,LW
8478407,19,Vince Dunn,Defenseman,D
8480023,19,Robert Thomas,Forward,C
8469608,20,Mike Smith,Goalie,G
8470966,20,Mark Giordano,Defenseman,D
8471707,20,James Neal,Forward,LW
8473564,20,Michael Frolik,Forward,RW
8474150,20,Mikael Backlund,Forward,C
8474612,20,Travis Hamonic,Defenseman,D
8474628,20,Michael Stone,Defenseman,D
8474673,20,TJ Brodie,Defenseman,D
8474774,20,Dalton Prout,Defenseman,D
8476346,20,Johnny Gaudreau,Forward,LW
8476409,20,Alan Quine,Forward,C
8476873,20,Mark Jankowski,Forward,C
8477496,20,Elias Lindholm,Forward,C
8477497,20,Sean Monahan,Forward,C
8477903,20,Garnet Hathaway,Forward,RW
8477935,20,Sam Bennett,Forward,C
8478233,20,Andrew Mangiapane,Forward,LW
8478396,20,Noah Hanifin,Defenseman,D
8478397,20,Rasmus Andersson,Defenseman,D
8478430,20,Oliver Kylington,Defenseman,D
8478512,20,Austin Czarnik,Forward,C
8478585,20,Derek Ryan,Forward,C
8479314,20,Matthew Tkachuk,Forward,LW
8479346,20,Dillon Dube,Forward,C
8479496,20,David Rittich,Goalie,G
8479976,20,Juuso Valimaki,Defenseman,D
8480147,20,Oscar Fantenberg,Defenseman,D
8477973,21,Vladislav Kamenev,Forward,C
8471262,21,Carl Soderberg,Forward,C
8473446,21,Erik Johnson,Defenseman,D
8473544,21,Derick Brassard,Forward,C
8473575,21,Semyon Varlamov,Goalie,G
8474013,21,Ian Cole,Defenseman,D
8474569,21,Colin Wilson,Forward,C
8474685,21,Matt Calvert,Forward,LW
8474717,21,Mark Barberio,Defenseman,D
8475197,21,Tyson Barrie,Defenseman,D
8475268,21,Gabriel Bourque,Forward,LW
8475747,21,Patrik Nemeth,Defenseman,D
8475831,21,Philipp Grubauer,Goalie,G
8476442,21,Matt Nieto,Forward,LW
8476455,21,Gabriel Landeskog,Forward,LW
8477021,21,Alexander Kerfoot,Forward,C
8477413,21,Sven Andrighetto,Forward,RW
8477435,21,Ryan Graves,Defenseman,D
8477456,21,J.T. Compher,Forward,LW
8477492,21,Nathan MacKinnon,Forward,C
8477507,21,Nikita Zadorov,Defenseman,D
8478420,21,Mikko Rantanen,Forward,RW
8479370,21,Tyson Jost,Forward,C
8479398,21,Samuel Girard,Defenseman,D
8480069,21,Cale Makar,Defenseman,D
8479344,22,Jesse Puljujarvi,Forward,RW
8470803,22,Kyle Brodziak,Forward,C
8471284,22,Andrej Sekera,Defenseman,D
8471729,22,Kris Russell,Defenseman,D
8473473,22,Milan Lucic,Forward,LW
8474040,22,Sam Gagner,Forward,C
8475156,22,Mikko Koskinen,Goalie,G
8475163,22,Alex Chiasson,Forward,RW
8475178,22,Zack Kassian,Forward,RW
8475755,22,Alexander Petrovic,Defenseman,D
8475857,22,Kevin Gravel,Defenseman,D
8476356,22,Tobias Rieder,Forward,RW
8476427,22,Ty Rattie,Forward,RW
8476454,22,Ryan Nugent-Hopkins,Forward,C
8476457,22,Adam Larsson,Defenseman,D
8476472,22,Oscar Klefbom,Defenseman,D
8476915,22,Jujhar Khaira,Forward,LW
8476932,22,Anthony Stolarz,Goalie,G
8476988,22,Matt Benning,Defenseman,D
8477498,22,Darnell Nurse,Defenseman,D
8477529,22,Colby Cave,Forward,C
8477934,22,Leon Draisaitl,Forward,C
8478402,22,Connor McDavid,Forward,C
8474091,23,Brandon Sutter,Forward,C
8479772,23,Zack MacEwen,Forward,C
8470626,23,Loui Eriksson,Forward,LW
8471303,23,Alexander Edler,Defenseman,D
8473415,23,Alex Biega,Defenseman,D
8474291,23,Jay Beagle,Forward,C
8474568,23,Luke Schenn,Defenseman,D
8474593,23,Jacob Markstrom,Goalie,G
8474849,23,Antoine Roussel,Forward,LW
8475690,23,Christopher Tanev,Defenseman,D
8475727,23,Ryan Spooner,Forward,C
8476410,23,Josh Leivo,Forward,LW
8476440,23,Markus Granlund,Forward,C
8476466,23,Sven Baertschi,Forward,LW
8476871,23,Tanner Pearson,Forward,LW
8476884,23,Derrick Pouliot,Defenseman,D
8477018,23,Ben Hutton,Defenseman,D
8477085,23,Ashton Sautner,Defenseman,D
8477213,23,Tim Schaller,Forward,C
8477353,23,Tyler Motte,Forward,C
8477500,23,Bo Horvat,Forward,C
8477937,23,Jake Virtanen,Forward,RW
8477958,23,Nikolay Goldobin,Forward,RW
8477967,23,Thatcher Demko,Goalie,G
8478444,23,Brock Boeser,Forward,RW
8478874,23,Adam Gaudette,Forward,C
8479442,23,Troy Stecher,Defenseman,D
8480012,23,Elias Pettersson,Forward,C
8480800,23,Quinn Hughes,Defenseman,D
8481425,23,Josh Teves,Defenseman,D
8481478,23,Jake Kielly,Goalie,G
8481479,23,Brogan Rafferty,Defenseman,D
8473434,24,Chad Johnson,Goalie,G
8478131,24,Ondrej Kase,Forward,RW
8468011,24,Ryan Miller,Goalie,G
8470612,24,Ryan Getzlaf,Forward,C
8470616,24,Ryan Kesler,Forward,C
8470621,24,Corey Perry,Forward,RW
8473560,24,Korbinian Holzer,Defenseman,D
8474641,24,Adam Henrique,Forward,C
8474683,24,Derek Grant,Forward,C
8475164,24,Jakob Silfverberg,Forward,RW
8475764,24,Cam Fowler,Defenseman,D
8476312,24,Josh Manson,Defenseman,D
8476434,24,John Gibson,Goalie,G
8476483,24,Rickard Rakell,Forward,LW
8476854,24,Hampus Lindholm,Defenseman,D
8476913,24,Devin Shore,Forward,C
8477240,24,Carter Rowney,Forward,C
8477941,24,Nick Ritchie,Forward,LW
8478425,24,Brendan Guhle,Defenseman,D
8478466,24,Daniel Sprong,Forward,RW
8478873,24,Troy Terry,Forward,RW
8470760,25,Marc Methot,Defenseman,D
8471691,25,Martin Hanzal,Forward,C
8475730,25,Stephen Johns,Defenseman,D
8469455,25,Jason Spezza,Forward,C
